"","Geo_FIPS","MAJORITY","AADT","TC","Percentage.of.below.18","Percentage.of.above.65","Percentage.of.non.white.pop","Percentage.of.less.than.HS","Percentage.of.unemployment","MHI","Population.Density..Per.Sq..Mile.","PM2.5","Traffic"
"653",6037229200,23,0,0,0.25,0.08,0.65,0.53,0.08,41250,29475.4,12.10765122,713.6654335
"654",6037229300,23,0,0,0.34,0.04,0.6,0.6,0.08,37468,29461.27,12.00225165,591.1333929
"655",6037229410,24,0,0,0.35,0.05,0.37,0.58,0.04,34403,17652.52,12.00225165,706.3017526
"656",6037229420,23,0,0,0.34,0.05,0.55,0.53,0.05,42250,21100.07,12.10765122,717.1675568
"657",6037231100,24,0,0,0.24,0.08,0.52,0.46,0.13,31494,10063.8,12.08083341,1945.209817
"658",6037231210,23,0,0,0.27,0.09,0.6,0.48,0.09,32258,32629.16,11.99266542,881.6927375
"659",6037231220,23,0,0,0.31,0.1,0.66,0.49,0.09,29741,12485.98,12.00727367,1098.399286
"660",6037231400,23,0,0,0.22,0.11,0.73,0.35,0.04,41774,19788.73,11.98149623,1043.388944
"661",6037231500,23,0,0,0.23,0.13,0.7,0.29,0.03,48912,15203.95,11.95605462,989.1586558
"662",6037231710,24,0,0,0.28,0.06,0.46,0.55,0.09,26444,33316.24,11.97864156,1095.023293
"663",6037231720,24,0,0,0.24,0.11,0.55,0.51,0.1,36528,27060.45,12.0084908,2867.931729
"664",6037231800,24,0,0,0.33,0.04,0.52,0.63,0.05,36765,27061.91,12.0084908,2446.699998
"665",6037232110,23,0,0,0.28,0.08,0.49,0.49,0.09,33203,20704.47,11.96948377,1020.806474
"666",6037232120,23,0,0,0.31,0.08,0.54,0.45,0.09,37555,27628.14,11.99843255,3043.231559
"667",6037232200,23,0,0,0.24,0.09,0.67,0.39,0.09,43911,17269.66,11.97864156,1067.871589
"668",6037232300,23,0,0,0.18,0.09,0.63,0.42,0.06,58576,24739.87,11.96219866,924.4081531
"669",6037232500,23,0,0,0.24,0.12,0.71,0.41,0.05,55841,16666.26,11.94659663,881.1667209
"670",6037232800,24,0,0,0.32,0.06,0.49,0.48,0.08,33438,27250.96,11.99449266,3324.181219
"671",6037234200,23,0,0,0.16,0.23,0.83,0.05,0.05,76761,7110.726,11.93784179,885.5203515
"672",6037234501,23,0,0,0.2,0.2,0.69,0.25,0.06,54622,9801.178,11.92925429,605.8828575
"673",6037234502,23,0,0,0.18,0.16,0.79,0.23,0.18,33500,14341.39,11.93136639,645.8372524
"674",6037234600,23,0,0,0.25,0.14,0.88,0.21,0.08,55887,9753.734,11.92245429,732.7808621
"675",6037234700,23,0,0,0.18,0.16,0.74,0.3,0.03,40375,12879.12,11.95162029,937.1354633
"676",6037234800,23,0,0,0.13,0.15,0.76,0.21,0.04,58736,13132.24,11.95162029,843.8931695
"677",6037234901,24,0,0,0.34,0.08,0.7,0.25,0.15,22693,26432.19,11.92854691,1131.130599
"678",6037234902,23,0,0,0.24,0.14,0.63,0.3,0.1,23981,23648.53,11.92854691,894.6097586
"679",6037235100,23,0,0,0.16,0.17,0.8,0.11,0.13,87246,9647.726,11.91305485,746.4054224
"680",6037235201,23,0,0,0.17,0.13,0.82,0.22,0.04,45341,10644.01,11.93780554,931.2289334
"681",6037235202,23,0,0,0.15,0.17,0.79,0.22,0.09,31732,13172.68,11.93412511,1203.474272
"682",6037236203,23,0,0,0.21,0.14,0.82,0.22,0.05,30144,23797.91,11.91626655,753.0939127
"683",6037236204,24,0,0,0.27,0.05,0.77,0.3,0.1,23677,35029.98,11.91626655,790.0223118
"684",6037236400,23,0,0,0.12,0.2,0.9,0.04,0.07,66359,8273.277,11.88815827,1180.704377
"685",6037237101,23,0,0,0.31,0.08,0.77,0.48,0.04,33569,18156.38,11.97007108,1034.894513
