Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037408005,Census Tract 4080.05,"Census Tract 4080.05, Los Angeles County, California",06,037,408005,,14000US06037408005,0.21,0.14,0.68,0.11,0.04,113477,3632.304
06037408006,Census Tract 4080.06,"Census Tract 4080.06, Los Angeles County, California",06,037,408006,,14000US06037408006,0.23,0.14,0.82,0.11,0.09,80500,2606.135
06037408133,Census Tract 4081.33,"Census Tract 4081.33, Los Angeles County, California",06,037,408133,,14000US06037408133,0.23,0.12,0.77,0.15,0.11,70667,12746.79
06037408134,Census Tract 4081.34,"Census Tract 4081.34, Los Angeles County, California",06,037,408134,,14000US06037408134,0.13,0.21,0.79,0.08,0.05,107404,8086.223
06037408135,Census Tract 4081.35,"Census Tract 4081.35, Los Angeles County, California",06,037,408135,,14000US06037408135,0.2,0.16,0.8,0.06,0.05,92250,8898.176
06037408136,Census Tract 4081.36,"Census Tract 4081.36, Los Angeles County, California",06,037,408136,,14000US06037408136,0.19,0.15,0.68,0.18,0.05,97500,10838.03
06037408137,Census Tract 4081.37,"Census Tract 4081.37, Los Angeles County, California",06,037,408137,,14000US06037408137,0.2,0.13,0.71,0.09,0.1,70976,13333.77
06037408138,Census Tract 4081.38,"Census Tract 4081.38, Los Angeles County, California",06,037,408138,,14000US06037408138,0.26,0.14,0.57,0.38,0.05,58594,15882.93
06037408139,Census Tract 4081.39,"Census Tract 4081.39, Los Angeles County, California",06,037,408139,,14000US06037408139,0.25,0.13,0.6,0.43,0.06,71028,14963.8
06037408140,Census Tract 4081.40,"Census Tract 4081.40, Los Angeles County, California",06,037,408140,,14000US06037408140,0.29,0.09,0.61,0.39,0.11,64692,10705.94
06037408141,Census Tract 4081.41,"Census Tract 4081.41, Los Angeles County, California",06,037,408141,,14000US06037408141,0.24,0.12,0.66,0.38,0.06,75722,12396.9
06037408202,Census Tract 4082.02,"Census Tract 4082.02, Los Angeles County, California",06,037,408202,,14000US06037408202,0.22,0.13,0.59,0.25,0.07,62583,509.0473
06037408211,Census Tract 4082.11,"Census Tract 4082.11, Los Angeles County, California",06,037,408211,,14000US06037408211,0.2,0.16,0.76,0.16,0.06,60429,2129.108
06037408212,Census Tract 4082.12,"Census Tract 4082.12, Los Angeles County, California",06,037,408212,,14000US06037408212,0.2,0.2,0.84,0.16,0.06,74167,4638.53
06037408301,Census Tract 4083.01,"Census Tract 4083.01, Los Angeles County, California",06,037,408301,,14000US06037408301,0.22,0.12,0.7,0.38,0.09,67464,7242.614
06037408302,Census Tract 4083.02,"Census Tract 4083.02, Los Angeles County, California",06,037,408302,,14000US06037408302,0.22,0.16,0.54,0.27,0.03,85968,3396.634
06037408303,Census Tract 4083.03,"Census Tract 4083.03, Los Angeles County, California",06,037,408303,,14000US06037408303,0.14,0.21,0.57,0.16,0.11,91750,6556.42
06037408401,Census Tract 4084.01,"Census Tract 4084.01, Los Angeles County, California",06,037,408401,,14000US06037408401,0.21,0.15,0.73,0.22,0.05,75023,9809.621
06037408402,Census Tract 4084.02,"Census Tract 4084.02, Los Angeles County, California",06,037,408402,,14000US06037408402,0.17,0.19,0.48,0.14,0.07,86667,1487.436
06037408501,Census Tract 4085.01,"Census Tract 4085.01, Los Angeles County, California",06,037,408501,,14000US06037408501,0.2,0.13,0.64,0.25,0.07,64306,9143.903
06037408503,Census Tract 4085.03,"Census Tract 4085.03, Los Angeles County, California",06,037,408503,,14000US06037408503,0.19,0.22,0.62,0.09,0.05,120721,3686.565
06037408504,Census Tract 4085.04,"Census Tract 4085.04, Los Angeles County, California",06,037,408504,,14000US06037408504,0.21,0.14,0.65,0.15,0.07,86296,9485.771
06037408505,Census Tract 4085.05,"Census Tract 4085.05, Los Angeles County, California",06,037,408505,,14000US06037408505,0.19,0.21,0.45,0.12,0.05,113702,3452.385
06037408623,Census Tract 4086.23,"Census Tract 4086.23, Los Angeles County, California",06,037,408623,,14000US06037408623,0.19,0.26,0.67,0.15,0.04,73393,8875.431
