RTE,DIST,City,County,State,Country,DESCRIPTION,TOTAL VEHICLE AADT,TOTAL TRUCK COUNTS,PERCENTAGE
170,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",143000,7350,5.14
187,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 405",70000,1771,2.53
187,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 405",49000,1671,3.41
187,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 10",44500,1722,3.87
187,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, CADILLAC AVE",55000,1755,3.19
210,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 5",84000,6451,7.68
210,07,LA,Los Angeles County,CA,USA,"LA CANADA-FLINTRIDGE, WEST JCT. RTE. 2",186000,11048,5.94
210,07,LA,Los Angeles County,CA,USA,"LA CANADA-FLINTRIDGE, WEST JCT. RTE. 2",131000,11332,8.65
210,07,LA,Los Angeles County,CA,USA,"LA CANADA-FLINTRIDGE, EAST JCT. RTE. 2",126000,10899,8.65
210,07,LA,Los Angeles County,CA,USA,"PASADENA, JCT. RTES. 134/710",143000,10310,7.21
210,07,LA,Los Angeles County,CA,USA,"PASADENA, JCT. RTES. 134/710",329000,14772,4.49
210,07,LA,Los Angeles County,CA,USA,"PASADENA, LAKE AVE INTERCHANGE",331000,24858,7.51
210,07,LA,Los Angeles County,CA,USA,"PASADENA, ROSEMEAD BLVD INTERCHANGE",274000,17426,6.36
210,07,LA,Los Angeles County,CA,USA,"PASADENA, ROSEMEAD BLVD INTERCHANGE",285000,16815,5.9
210,07,LA,Los Angeles County,CA,USA,E/O POLK ST; ASTORIA ST PED OC,95500,6446,6.75
210,07,LA,Los Angeles County,CA,USA,"MONROVIA, HUNTINGTON DR INTERCHANGE",252000,15473,6.14
210,07,LA,Los Angeles County,CA,USA,"DUARTE, JCT. RTE. 605",256000,19968,7.8
210,07,LA,Los Angeles County,CA,USA,"DUARTE, JCT. RTE. 605",269000,18991,7.06
210,07,LA,Los Angeles County,CA,USA,"GLENDORA, GRAND AVE INTERCHANGE",256000,21965,8.58
210,07,LA,Los Angeles County,CA,USA,"GLENDORA, JCT RTE 57",257000,17887,6.96
210,07,LA,Los Angeles County,CA,USA,"GLENDORA, JCT RTE 57",187000,6676,3.57
210,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 118",129000,10849,8.41
210,07,LA,Los Angeles County,CA,USA,"LOS ANGELES, JCT. RTE. 118",131000,6655,5.08
