"","DESCRIPTION","City","County","State","Country","AVG_AADT","AVG_TruckCounts","addr","lat","long","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax"
"59","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",80000,5236,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"60","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",115333,7335,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"61","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",75899,4814,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"62","N/O SHERMAN WAY; SATICOY ST","LA","Los Angeles County","CA","USA",217000,8919,"N/O SHERMAN WAY; SATICOY ST,LA,Los Angeles County,CA,USA",33.972888193336,-118.175486742306,"Sherman Way, Bell Gardens, California, 90201",91.24,-118.175486742306,33.972888193336,-118.176486742306,33.971888193336,-118.174486742306,33.973888193336
"63","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",207333,15742,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"64","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",184333,12736,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"65","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",197100,15470,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"66","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",193667,15129,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"67","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",170667,12124,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"68","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",183433,14858,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"69","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",193333,13402,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"70","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",170333,10397,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"71","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",183100,13131,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"72","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",207333,15742,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"73","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",184333,12736,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"74","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",197100,15470,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"75","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",193333,13402,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"76","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",170333,10397,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"77","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",183100,13131,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"78","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",207000,14015,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"79","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",184000,11009,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"80","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",196767,13743,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"81","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",221000,16354,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"82","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",198000,13349,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"83","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",210767,16083,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"84","ORANGE/LOS ANGELES COUNTY LINE","LA","Los Angeles County","CA","USA",193000,11675,"ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",92.37,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
